Age,Accessories,Happiness,cluster,Url
34.5,1.98802948,71.82265727,3,https://www.instagram.com/p/Bj4Vb21Aamp/
29,1.122871399,93.25201416,3,https://www.instagram.com/p/Bjp57o2ncyl/
34.5,67.81640625,57.15884399,4,https://www.instagram.com/p/BjseHYsgb4l/
34.5,68.4695282,87.93659973,1,https://www.instagram.com/p/BjWH3Ydn5nd/
30.5,1.69442749,76.18786621,3,https://www.instagram.com/p/BjYmTAdhTqc/
3.5,3.477928162,88.12062073,3,https://www.instagram.com/p/Bk_N2Y_Hhcd/
30.5,1.202713013,88.29774475,3,https://www.instagram.com/p/Bkay6q6A4a3/
44,26.4464035,11.5206604,2,https://www.instagram.com/p/BkhxvpxF557/
29,17.57614899,99.45578003,3,https://www.instagram.com/p/BknuzwZlaEr/
34.5,15.23262024,99.16732788,3,https://www.instagram.com/p/BkQaLnEl19F/
34.5,2.264724731,86.18055725,3,https://www.instagram.com/p/BkQQuB5Fqat/
37,16.63822174,78.85639191,3,https://www.instagram.com/p/BkTekrgFGOM/
29.5,40.90342712,53.52813339,4,https://www.instagram.com/p/BlI1ZmzAQ-P/
30.5,6.359840393,61.14163208,3,https://www.instagram.com/p/BlMD74gA6o_/
29,11.78753662,87.55770874,3,https://www.instagram.com/p/BlRKw-whgiq/
34.5,18.56807709,34.79173279,2,https://www.instagram.com/p/BlUBR2LhAjg/
34.5,2.27570343,94.05586243,3,https://www.instagram.com/p/BX8J0eHF9vO/
37,3.400566101,39.9344635,2,https://www.instagram.com/p/BX8RuNKHpz3/
30.5,18.49763489,97.48614502,3,https://www.instagram.com/p/BXeQrxZBLoC/
34.5,6.194564819,32.33062744,2,https://www.instagram.com/p/BY-28JljZNu/
34.5,11.09867096,77.23599243,3,https://www.instagram.com/p/BY_LPS_DwFg/
29,1.87437439,5.62487793,2,https://www.instagram.com/p/BY1UCYMnEDQ/
34.5,81.72337341,98.67459106,1,https://www.instagram.com/p/BYEkn5qBncr/
29,40.12408447,99.26705933,1,https://www.instagram.com/p/BYlJHntBGFm/
34.5,10.43675995,91.48501587,3,https://www.instagram.com/p/BYnB2GyB5Wn/
38.83333333,47.50367737,68.68256124,4,https://www.instagram.com/p/BYtsfLjBOme/
34.5,9.237113953,90.30006409,3,https://www.instagram.com/p/BYwtkkdHWEl/
38.16666667,2.850494385,73.22510783,3,https://www.instagram.com/p/BZAn_w9H9TU/
29.75,6.389854431,97.90982819,3,https://www.instagram.com/p/BZAPxmdgvaa/
30.5,1.363960266,73.1075592,3,https://www.instagram.com/p/BZASy_Oh9Qb/
34.5,2.324279785,53.38935852,2,https://www.instagram.com/p/BZAWaLwBjfO/
35,45.78288269,78.62541199,1,https://www.instagram.com/p/BZcjyaqnnob/
33.75,26.67776489,53.99826431,4,https://www.instagram.com/p/BZD6SCrlr4m/
31.83333333,15.84741211,66.53392537,3,https://www.instagram.com/p/BZEbt4YnjBA/
28.25,7.839599609,53.68531418,2,https://www.instagram.com/p/BZguxSOjQtg/
34.5,37.07788086,56.03909302,4,https://www.instagram.com/p/BZOZmnNhZtr/
29,4.518173218,51.5447998,2,https://www.instagram.com/p/BZRwRQ7lTww/
21.5,6.676116943,97.2983551,3,https://www.instagram.com/p/BZUtJTKDFb_/
